question;intention;cypher
Quantas vezes a distância entre o bairro Jardim e o bairro Campestre é calculada?;distance;MATCH (a:Neighborhood {name: 'Jardim'}), (b:Neighborhood {name: 'Campestre'}) RETURN COUNT(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS distance_count
Qual é a soma das distâncias entre o bairro Jardim e todos os outros bairros?;distance;MATCH (a:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place)<-[:CONTAINS]-(b:Neighborhood) RETURN SUM(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS total_distance_meters
Qual é a média das distâncias entre o bairro Jardim e todos os outros bairros?;distance;MATCH (a:Neighborhood {name: 'Jardim'}), (b:Neighborhood) WHERE a <> b RETURN AVG(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS avg_distance_meters
Qual é a menor distância entre o bairro Jardim e algum outro bairro?;distance;MATCH (a:Neighborhood {name: 'Jardim'}), (b:Neighborhood) WHERE a <> b RETURN MIN(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS min_distance_meters
Qual é o maior petshop do bairro Jardim?;distance;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating DESC LIMIT 1
Qual é a distância entre o bairro Jardim e o bairro Campestre?;distance;MATCH (a:Neighborhood {name: 'Jardim'}), (b:Neighborhood {name: 'Campestre'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters
Qual a distância em linha reta entre o bairro Vila Bastos e o bairro Centro, considerando apenas bairros com população maior que 1000 habitantes?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood {name: 'Centro'}) WHERE a.population > 1000 AND b.population > 1000 RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters
Ordene a distância em linha reta entre o bairro Vila Bastos e o bairro Centro em ordem crescente;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood {name: 'Centro'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters ORDER BY distance_meters
Qual a distância em linha reta entre o bairro Vila Bastos e o bairro Centro, considerando apenas a primeira distância encontrada?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood {name: 'Centro'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters LIMIT 1
Quantos bairros existem com distância em linha reta entre eles e o bairro Vila Bastos?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood) RETURN COUNT(b) AS total_bairros
Qual é a soma das distâncias em linha reta entre o bairro Vila Bastos e todos os outros bairros?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood) WHERE a <> b RETURN SUM(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS total_distance_meters
Qual a média da distância em linha reta entre o bairro Vila Bastos e todos os outros bairros?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood) WHERE b.name <> 'Vila Bastos' RETURN AVG(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS avg_distance_meters
Qual é a menor distância em linha reta entre o bairro Vila Bastos e o bairro Centro?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood {name: 'Centro'}) RETURN MIN(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS min_distance_meters
Qual é o maior valor de distância em linha reta entre o bairro Vila Bastos e qualquer outro bairro?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood) WHERE a <> b RETURN MAX(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS max_distance_meters
Qual a distância em linha reta entre o bairro Vila Bastos e o bairro Centro?;distance;MATCH (a:Neighborhood {name: 'Vila Bastos'}), (b:Neighborhood {name: 'Centro'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters
Qual é a distância entre o bairro Vila Assunção e o bairro Centro, considerando apenas bairros com população maior que 1000 habitantes?;distance;MATCH (a:Neighborhood {name: 'Vila Assunção', population: 1000}), (b:Neighborhood {name: 'Centro', population: 1000}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters
Qual é a distância entre o bairro Vila Assunção e o bairro Centro, ordenada de forma crescente?;distance;MATCH (a:Neighborhood {name: 'Vila Assunção'}), (b:Neighborhood {name: 'Centro'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters ORDER BY distance_meters
Mostre a distância entre o bairro Vila Assunção e o bairro Centro, considerando apenas a primeira parte da resposta;distance;MATCH (a:Neighborhood {name: 'Vila Assunção'}), (b:Neighborhood {name: 'Centro'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters LIMIT 1
Quantos bairros estão separados por um determinado número de metros?;distance;MATCH (a:Neighborhood {name: 'Vila Assunção'}), (b:Neighborhood {name: 'Centro'}) RETURN COUNT(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS total_distances
Qual é a soma da distância entre cada bairro e o bairro Centro?;distance;MATCH (a:Neighborhood {name: 'Centro'}), (b:Neighborhood) RETURN SUM(point.distance(point({latitude: b.centroid_lat, longitude: b.centroid_lon}), point({latitude: a.centroid_lat, longitude: a.centroid_lon}))) AS total_distance
Qual é a média da distância entre o bairro Vila Assunção e o bairro Centro?;distance;MATCH (a:Neighborhood {name: 'Vila Assunção'}), (b:Neighborhood {name: 'Centro'}) RETURN AVG(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS avg_distance_meters
Qual é a menor distância entre o bairro Vila Assunção e o bairro Centro?;distance;MATCH (a:Neighborhood {name: 'Vila Assunção'}), (b:Neighborhood {name: 'Centro'}) RETURN MIN(point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS min_distance_meters
Qual é a maior distância entre um petshop e o bairro Jardim?;distance;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})-[:NEAR]->(i:Intersection)-[:ROAD]->(r:Road)-[:CONTAINS]->(b:Neighborhood) WHERE b.name = 'Jardim' RETURN MAX(point.distance(point({latitude: p.latitude, longitude: p.longitude}), point({latitude: b.centroid_lat, longitude: b.centroid_lon}))) AS max_distance_meters
Quantos metros separam o bairro Vila Assunção do bairro Centro?;distance;MATCH (a:Neighborhood {name: 'Vila Assunção'}), (b:Neighborhood {name: 'Centro'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters
Quais são os dados socioeconômicos do bairro Vila Bastos, considerando apenas os bairros com população maior que 1000 habitantes?;node_info;MATCH (n:Neighborhood {name: 'Vila Bastos'}) WHERE n.total_resident_population > 1000 RETURN n.name, n.average_monthly_income, n.literacy_rate, n.total_resident_population
Ordene os dados socioeconômicos do bairro Vila Bastos em ordem alfabética;node_info;MATCH (n:Neighborhood {name: 'Vila Bastos'}) RETURN n.name, n.average_monthly_income, n.literacy_rate, n.total_resident_population ORDER BY n.name
Mostre os 4 primeiros dados socioeconômicos do bairro Vila Bastos;node_info;MATCH (n:Neighborhood {name: 'Vila Bastos'}) RETURN n.name, n.average_monthly_income, n.literacy_rate, n.total_resident_population LIMIT 4
Quantos bairros têm dados socioeconômicos disponíveis?;node_info;MATCH (n:Neighborhood) RETURN COUNT(n) AS total_bairros
Qual é a soma dos rendimentos médios mensais de todos os bairros?;node_info;MATCH (n:Neighborhood) RETURN SUM(n.average_monthly_income) AS total_income
Qual é a média do rendimento mensal dos bairros com população residente maior que 1000 habitantes?;node_info;MATCH (n:Neighborhood {total_resident_population: {gt: 1000}}) RETURN AVG(n.average_monthly_income) AS avg_income
Qual é o menor valor de renda média mensal do bairro Vila Bastos?;node_info;MATCH (n:Neighborhood {name: 'Vila Bastos'}) RETURN MIN(n.average_monthly_income) AS min_income
Qual é o maior valor de renda média mensal dos bairros que contêm petshops?;node_info;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN MAX(n.average_monthly_income) AS max_income
Quais são os dados socioeconômicos do bairro Vila Bastos?;node_info;MATCH (n:Neighborhood {name: 'Vila Bastos'}) RETURN n.name, n.average_monthly_income, n.literacy_rate, n.total_resident_population
Mostre os indicadores demográficos do bairro Vila Gilda, apenas se ele tiver uma população com renda maior que 5000;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) WHERE n.population_with_income > 5000 RETURN n.name, n.total_resident_population, n.total_private_households, n.population_with_income
Ordene os indicadores demográficos do bairro Vila Gilda em ordem crescente;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN n.name, n.total_resident_population, n.total_private_households, n.population_with_income ORDER BY n.total_resident_population
Mostre os 5 primeiros indicadores demográficos do bairro Vila Gilda;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN n.name, n.total_resident_population, n.total_private_households, n.population_with_income LIMIT 5
Quantos indicadores demográficos existem no bairro Vila Gilda?;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN COUNT(n) AS total_indicators
Qual é a soma dos indicadores demográficos do bairro Vila Gilda?;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN SUM(n.total_resident_population) AS total_resident_population, SUM(n.total_private_households) AS total_private_households, SUM(n.population_with_income) AS population_with_income
Qual é a média dos indicadores demográficos do bairro Vila Gilda?;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN AVG(n.total_resident_population), AVG(n.total_private_households), AVG(n.population_with_income)
Qual é o menor indicador demográfico do bairro Vila Gilda?;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN MIN(n.total_resident_population), MIN(n.total_private_households), MIN(n.population_with_income)
Qual é o indicador demográfico mais alto do bairro Vila Gilda?;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN MAX(n.total_resident_population), MAX(n.total_private_households), MAX(n.population_with_income)
Mostre os indicadores demográficos do bairro Vila Gilda;node_info;MATCH (n:Neighborhood {name: 'Vila Gilda'}) RETURN n.name, n.total_resident_population, n.total_private_households, n.population_with_income
Qual é a população total do bairro Vila Assunção?;node_info;MATCH (n:Neighborhood {name: 'Vila Assunção'}) RETURN n.total_resident_population WHERE n.total_resident_population > 0
Ordene as informações básicas do bairro Vila Assunção em ordem alfabética;node_info;MATCH (n:Neighborhood {name: 'Vila Assunção'}) RETURN n.name, n.area_km2, n.total_resident_population, n.total_literate_population ORDER BY n.name
Mostre as 5 primeiras informações básicas do bairro Vila Assunção;node_info;MATCH (n:Neighborhood {name: 'Vila Assunção'}) RETURN n.name, n.area_km2, n.total_resident_population, n.total_literate_population LIMIT 5
Quantas informações básicas existem sobre o bairro Vila Assunção?;node_info;MATCH (n:Neighborhood {name: 'Vila Assunção'}) RETURN COUNT(n) AS total_info
Qual é a soma das populações residentes de todos os bairros?;node_info;MATCH (n:Neighborhood) RETURN SUM(n.total_resident_population) AS total_resident_population
Qual é a média da área dos bairros da cidade?;node_info;MATCH (n:Neighborhood) RETURN AVG(n.area_km2) AS avg_area
Qual é o menor valor de área km² de um bairro?;node_info;MATCH (n:Neighborhood) RETURN MIN(n.area_km2) AS min_area
Qual é o bairro com maior população residente?;node_info;MATCH (n:Neighborhood) RETURN n.name, n.total_resident_population ORDER BY n.total_resident_population DESC LIMIT 1
Liste as informações básicas do bairro Vila Assunção;node_info;MATCH (n:Neighborhood {name: 'Vila Assunção'}) RETURN n.name, n.area_km2, n.total_resident_population, n.total_literate_population
Qual é a clínica veterinária Paco & Sua Turminha que tem mais de 1000 avaliações?;node_info;MATCH (p:Place {name: 'Paco & Sua Turminha'}) WHERE p.num_reviews > 1000 RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id
Ordene os dados da clínica veterinária Paco & Sua Turminha por ordem alfabética;node_info;MATCH (p:Place {name: 'Paco & Sua Turminha'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id ORDER BY p.name
Mostre os 6 primeiros dados completos da clínica veterinária Paco & Sua Turminha;node_info;MATCH (p:Place {name: 'Paco & Sua Turminha'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id LIMIT 6
Quantos dados completos da clínica veterinária Paco & Sua Turminha existem?;node_info;MATCH (p:Place {name: 'Paco & Sua Turminha'}) RETURN COUNT(p) AS total_data
Qual é a soma de reviews de todos os petshops do bairro onde fica a clínica veterinária Paco & Sua Turminha?;node_info;MATCH (p:Place {name: 'Paco & Sua Turminha'})-[:CONTAINS]->(n:Neighborhood)-[:CONTAINS]->(pet:Place {type: 'pet_store'}) RETURN SUM(pet.num_reviews) AS total_reviews
Qual é a média de rating das clínicas veterinárias do bairro onde fica a clínica veterinária Paco & Sua Turminha?;node_info;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {name: 'Paco & Sua Turminha'})-[:NEAR]->(i:Intersection)-[:ROAD]->(r:Road)-[:CONTAINS]->(n2:Neighborhood) WHERE n <> n2 MATCH (n2)-[:CONTAINS]->(q:Place {type: 'veterinary_care'}) RETURN AVG(q.rating) AS avg_rating
Qual é o menor rating de uma clínica veterinária no bairro Jardim?;node_info;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) RETURN MIN(p.rating) AS min_rating
Qual é o petshop com maior rating no bairro onde fica a clínica veterinária Paco & Sua Turminha?;node_info;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {name: 'Paco & Sua Turminha'})-[:CONTAINS]->(q:Place {type: 'pet_store'}) RETURN q.name, q.rating ORDER BY q.rating DESC LIMIT 1
Quais são os dados completos da clínica veterinária Paco & Sua Turminha?;node_info;MATCH (p:Place {name: 'Paco & Sua Turminha'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id
Qual é o petshop Patokinhas PetClub se ele tiver mais de 1000 habitantes no bairro?;node_info;MATCH (p:Place {name: 'Patokinhas PetClub'})-[:NEAR]->(i:Intersection)-[:ROAD]->(r:Road)-[:CONTAINS]->(n:Neighborhood) WHERE n.population > 1000 RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id
Liste os detalhes dos petshops do bairro Jardim em ordem alfabética;node_info;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id ORDER BY p.name
Mostre apenas os detalhes dos 5 primeiros petshops;node_info;MATCH (p:Place {name: 'Patokinhas PetClub'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id LIMIT 5
Quantos detalhes de petshops existem no bairro?;node_info;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place) RETURN COUNT(p) AS total_details
Qual é a soma de reviews de todos os petshops do bairro que contém o petshop Patokinhas PetClub?;node_info;MATCH (p:Place {name: 'Patokinhas PetClub'})-[:CONTAINS*1..]->(n:Neighborhood)-[:CONTAINS]->(q:Place {type: 'pet_store'}) RETURN SUM(q.num_reviews) AS total_reviews
Qual é a média de rating dos petshops do bairro onde está localizado o Patokinhas PetClub?;node_info;MATCH (p:Place {name: 'Patokinhas PetClub'})-[:NEAR]->(n:Neighborhood)-[:CONTAINS]->(q:Place {type: 'pet_store'}) RETURN AVG(q.rating) AS avg_rating
Qual é o petshop com menor rating no bairro que contém o Patokinhas PetClub?;node_info;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {name: 'Patokinhas PetClub'})-[:CONTAINS]->(q:Place {type: 'pet_store'}) RETURN q.name, MIN(q.rating) AS min_rating
Qual é o petshop com o maior número de reviews no bairro Jardim?;node_info;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, MAX(p.num_reviews) AS max_reviews
Quais são os detalhes do petshop Patokinhas PetClub?;node_info;MATCH (p:Place {name: 'Patokinhas PetClub'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id
Qual é a clínica veterinária VetAmigo se ela tem mais de 1000 avaliações?;node_info;MATCH (p:Place {name: 'VetAmigo', type: 'veterinary_care'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id WHERE p.num_reviews > 1000
Liste os detalhes das clínicas veterinárias do bairro Jardim em ordem alfabética;node_info;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id ORDER BY p.name
Mostre apenas os detalhes da clínica veterinária VetAmigo;node_info;MATCH (p:Place {name: 'VetAmigo'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id LIMIT 1
Quantos detalhes de clínicas veterinárias existem?;node_info;MATCH (p:Place {type: 'veterinary_care'}) RETURN COUNT(p) AS total_details
Qual é a soma de reviews de todas as clínicas veterinárias do bairro onde fica a clínica VetAmigo?;node_info;MATCH (p:Place {name: 'VetAmigo'})-[:NEAR]->(i:Intersection)-[:ROAD]->(r:Road)-[:CONTAINS]->(n:Neighborhood)-[:CONTAINS]->(v:Place {type: 'veterinary_care'}) RETURN SUM(v.num_reviews) AS total_reviews
Qual é a média de rating das clínicas veterinárias do bairro onde fica a clínica VetAmigo?;node_info;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {name: 'VetAmigo'})-[:NEAR]->(i:Intersection)-[:ROAD]->(r:Road)-[:CONTAINS]->(c:Place {type: 'veterinary_care'}) RETURN AVG(c.rating) AS avg_rating
Qual é o menor rating de uma clínica veterinária no bairro Jardim?;node_info;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) RETURN MIN(p.rating) AS min_rating
Qual é o petshop com o maior número de reviews no bairro Jardim?;node_info;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.num_reviews ORDER BY p.num_reviews DESC LIMIT 1
Quais são os detalhes da clínica veterinária VetAmigo?;node_info;MATCH (p:Place {name: 'VetAmigo'}) RETURN p.name, p.type, p.rating, p.latitude, p.longitude, p.num_reviews, p.place_id
